site_code,site_name,start_url
gsif,강릉과학산업진흥원,https://mybiz.gsipa.or.kr/gsipa/bbs_list.do?code=sub03a&keyvalue=sub03
djbaAnnc,대전일자리경제진흥원 - 유관기관,https://www.djbea.or.kr/pms/st/st_0205/list
gimb,환동해산업연구원,http://mire.re.kr/sub4_4.php?PHPSESSID=e90e1c5af211a879b62c46091ad71dce
gepaGwangju,광주광역시 기업지원시스템,http://203.251.57.106:82/jwsys_site/gepa/main.html
dcb,(재)부산디자인진흥원,https://www.dcb.or.kr/01_news/?mcode=0401010000
jbf,(재)전남바이오진흥원,http://www.jbf.kr/main/board.action?cmsid=101050200000
cepaMarket,충남경제진흥원-공지사항,https://www.cepa.or.kr/notice/notice.do?pm=6&ms=32
cheongjucci,청주상공회의소,https://cheongjucci.korcham.net/front/board/boardContentsListPage.do?boardId=10701&menuId=1561
gib,경북바이오산업연구원,https://gib.re.kr/module/bbs/list.php?mid=/news/notice
gbtpinfo,경북테크노파크 - 일반공고,https://gbtp.or.kr/user/board.do?bbsId=BBSMSTR_000000000023
dgdc,대구경북디자인진흥원,https://dgdp.or.kr/notice/public
